Asset ID,Project,Title,Drive File ID,Master URL,Current File Name,Artifact Class,Authoritative System,Lifecycle Status,Current Version Label,Retention Tier,Readback Status,Inventory Scope,Notes
CW-PRES-001,Converging Waters,Converging Waters Tentative 60 Day Roadmap — Presentation,,,Converging_Waters_Tentative_60_Day_Roadmap_v06_bullets_only.pptx,MASTER_BLOB,Google Drive,REVIEW,v06,WORKING,BLOCKED,HANDOFF_OBSERVED,Drive ID pending audit
CW-PRES-002,Converging Waters,Converging Waters Tentative 60 Day Roadmap — Presentation PDF,,,Converging_Waters_Tentative_60_Day_Roadmap_v06_bullets_only.pdf,DERIVATIVE_CURRENT,Google Drive,REVIEW,v06,WORKING,BLOCKED,HANDOFF_OBSERVED,Export of CW-PRES-001
CW-ROAD-001,Converging Waters,Converging Waters Tentative 60 Day Roadmap — Document,,,Converging_Waters_Tentative_60_Day_Roadmap_v05.docx,MASTER_BLOB,Google Drive,REVIEW,v05,WORKING,BLOCKED,HANDOFF_OBSERVED,Drive ID pending audit
CW-ROAD-002,Converging Waters,Converging Waters Tentative 60 Day Roadmap — Document PDF,,,Converging_Waters_Tentative_60_Day_Roadmap_Document_v05.pdf,DERIVATIVE_CURRENT,Google Drive,REVIEW,v05,WORKING,BLOCKED,HANDOFF_OBSERVED,Export of CW-ROAD-001
CW-WEB-001,Converging Waters,Converging Waters Web Synthesis,,,Converging_Waters_Final_Preview_v13.html,MASTER_BLOB,GitHub + Google Drive,REVIEW,v13,APPROVED,BLOCKED,HANDOFF_OBSERVED,GitHub is source/deployment authority; Drive archival identity pending
CW-VIS-001,Converging Waters,Medición y regeneración de aguas vivas,,,medición_y_regeneración_de_aguas_vivas.png,MASTER_BLOB,Google Drive,REVIEW,v01,APPROVED,BLOCKED,LOCAL_AND_HANDOFF,Primary infographic
CW-VIS-002,Converging Waters,Lógica de proceso y mapa colaborativo,,,lógica_de_proceso_y_mapa_colaborativo.png,MASTER_BLOB,Google Drive,DRAFT,v01,WORKING,BLOCKED,LOCAL_STAGING,Drive identity pending
CW-VIS-003,Converging Waters,Colaboración estratégica en proceso,,,colaboración_estratégica_en_proceso.png,MASTER_BLOB,Google Drive,DRAFT,v01,WORKING,BLOCKED,LOCAL_STAGING,Drive identity pending
CW-HTML-001,Converging Waters,Measurement Purpose Visual Section,,,Measurement_Purpose_Visual_Section.html,VARIANT,Google Drive,DRAFT,v01,WORKING,BLOCKED,LOCAL_STAGING,Select canonical HTML master
CW-HTML-002,Converging Waters,Measurement Purpose Visual Section v2,,,Measurement_Purpose_Visual_Section_v2.html,VARIANT,Google Drive,DRAFT,v02,WORKING,BLOCKED,LOCAL_STAGING,Select canonical HTML master
